language,text_id,sentence
Dutch,Janus,Janus is in de oude Romeinse religie en mythes de god van het begin en van poorten .
Dutch,Janus,"Hij heeft een dubbele aard en wordt meestal voorgesteld met twee gezichten , omdat hij zowel naar de toekomst als naar het verleden kijkt ."
Dutch,Janus,"Janus overzag het begin en het einde van conflicten , en vandaar oorlog en vrede ."
Dutch,Janus,De deuren van zijn tempel waren open in tijden van oorlog en gesloten in tijden van vrede .
Dutch,Janus,Als god van de poorten werd hij ook geassociëerd met het betreden en verlaten van huisdeuren .
Dutch,Janus,"Janus symboliseerde verandering en transities , zoals de overgang van de ene toestand in de andere , van een visie in een andere , en de groei van jonge mensen tot volwassenen ."
Dutch,Janus,"Janus werd dus ook aanbeden aan het begin van de oogst - en zaaitijd , alsook bij een huwelijk , overlijden , of een andere overgang ."
Dutch,Janus,"Janus had geen specifieke priesters aan hem toegewezen , maar de hogepriester zelf voerde zijn ceremonies uit ."
Dutch,Janus,"Janus vertegenwoordigde het midden tussen barbaarsheid en beschaving , landelijke en stedelijke ruimte , jeugd en volwassenheid ."
Dutch,Janus,"De oude Grieken hadden geen equivalent voor Janus , die de Romeinen als als hun eigen god opeisten ."
Dutch,Shaka,"Het shaka teken , ook bekend als ‘ laat het los ’ , is een gebaar bedoeld als vriendelijke intentie , vaak geassociëerd met Hawaï en de surfcultuur ."
Dutch,Shaka,Het gebaar wordt gemaakt door de duim en pink uit te strekken terwijl de drie middelvingers gevouwen blijven tegen de handpalm .
Dutch,Shaka,Zowel de voor - als de achterkant van de hand kan getoond worden en eventueel heen en weer bewegen worden ter benadrukking .
Dutch,Shaka,"Het shaka teken werd overgenomen vanuit de lokale Hawaïaanse gebruiken en cultuur door surfers die de eilanden bezochten in de jaren zestig , het gebruik ervan is in de hele wereld verspreid geraakt ."
Dutch,Shaka,"Het wordt voornamelijk gebruikt als een gebaar voor begroeting , dank of lof uit te drukken of erkenning te geven ."
Dutch,Shaka,"Hawaïaanse inwoners gebruiken de shaka om het ‘ Aloha gevoel ’ over te brengen : een concept van vriendschap , begrip , medeleven en solidariteit tussen de verschillende volkeren op Hawaï ."
Dutch,Shaka,"Het is onduidelijk wat de precieze oorsprong is van het teken , al is het volgens sommigen afkomstig van Spaanse immigranten , die hun middelvingers krulden en hun duim bij hun lippen hielden als vriendelijk gebaar dat aangaf dat ze graag iets samen wilden drinken met de inboorlingen die ze in Hawaï leerden kennen ."
Dutch,Doping,Doping is het gebruik van verboden prestatiebevorderende drugs door atletische deelnemers in competitieve sporten .
Dutch,Doping,De term doping wordt gebruikt door organisaties die sportwedstrijden regelen .
Dutch,Doping,"Het gebruik van doping om prestaties te bevorderen wordt doorgaans als onethisch beschouwd , en is daarom ook verboden bij de meeste internationale sportorganisaties , waaronder het Internationale Olympische Comité ."
Dutch,Doping,Bovendien verergeren atleten de ethische overtreding door openlijke misleiding en valsspelen wanneer ze expliciete maatregelen nemen om detectie te voorkomen .
Dutch,Doping,"Ondanks dat doping tegenwoordig vaak voorkomt in krantenkoppen , is het geen nieuw fenomeen – het is eigenlijk al zo oud als de sport zelf ."
Dutch,Doping,"Vanaf het gebruik van middelen in oude wagenrennen tot de meer recente controverses in voetbal en wielrennen , hebben atleten uiteenlopende visies gehad doorheen de jaren ."
Dutch,Doping,In de afgelopen decennia hebben autoriteiten en sportieve organisaties geprobeerd het gebruik van drugs in sport strict te reguleren .
Dutch,Doping,"De voornaamste redenen voor dit verbod zijn de gezondheidsrisico ’s van prestatiebevorderende middelen , gelijke kansen voor de atleten , en de positieve voorbeeldfunctie van een drugvrije sport voor het publiek ."
Dutch,Doping,Antidopingautoriteiten hebben herhaaldelijk benadrukt dat het gebruik van prestatiebevorderende drugs tegen de ‘ geest van de sport ’ indruist .
Dutch,Thylacine,"De buidelwolf was een van de grotere vleesetende buideldieren in Australië , Nieuw Guinea en Tasmanië voordat de kolonisten er arriveerden ."
Dutch,Thylacine,"De kop van de buidelwolf lijkt op die van een hondachtige , hieraan dankt hij zijn naam ."
Dutch,Thylacine,"De soort staat ook bekend als de Tasmaanse tijger , verwijzend naar de strepen op de rug van het dier die dienen als camouflage in de bossen ."
Dutch,Thylacine,Verder heeft het dier een lange staart waarover de strepen enigszins doorlopen .
Dutch,Thylacine,Met de komst van de Europeanen is het dier geheel van de aardbodem verdwenen .
Dutch,Thylacine,"De boeren die zich op Tasmanië vestigden , maakten jacht op de buidelwolf , omdat het dier schapen zou doden ."
Dutch,Thylacine,Lang werd geopperd dat de komst van de Europeanen niet de enige oorzaak van uitsterven was .
Dutch,Thylacine,Aan het begin van de 20e eeuw zou er zich een epidemie onder de vleesetende buideldieren hebben voorgedaan .
Dutch,Thylacine,Pas midden de jaren dertig werd de buidelwolf op Tasmanië wettelijk beschermd .
